Peter Szoke,322,0,26,13,0,30.92950034,0.5,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,100142
Patrice Dominguez,146,0,46,24,173,31.36481862,0,0,0,0,0,0,0,0,0,0,-1,0.5217391304347826,0,0,0,0,0,100199
Antonio Zugarelli,267,0,80,38,0,32.96098563,1,0,0,0,0,0,0,0,0,0,-1,0.475,0,0,0,0,0,100200
Ove Nils Bengtson,76,0,49,21,196,32.99110198,1,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0,0,0,0,0,100098
Georges Goven,143,0,63,20,173,35.68514716,1,0,0,0,0,0,0,0,0,0,-4,0.31746031746031744,0,0,0,0,0,100160
Jean Louis Haillet,349,0,29,8,0,28.65982204,1,0,0,0,0,0,0,0,0,0,-10,0.27586206896551724,0,0,0,0,0,100331
Graham Stilwell,142,0,9,4,173,29.60164271,1,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,0,0,0,0,0,100106
Antonio Munoz,147,0,54,21,0,27.24435318,1,0,0,0,0,0,0,0,0,0,-2,0.3888888888888889,0,0,0,0,0,100235
Patrick Proisy,158,0,64,29,180,31.70431212,1,0,0,0,0,0,0,0,0,0,0,0.453125,0,0,0,0,0,100185
Ismail El Shafei,283,0,93,37,0,33.5742642,1,0,0,0,0,0,0,0,0,0,-2,0.3978494623655914,0,0,0,0,0,100148
Francois Jauffret,57,0,72,45,180,36.29842574,1,0,0,0,0,0,0,0,0,0,-3,0.625,0,0,0,0,0,100062
Marty Riessen,91,0,91,49,185,39.20328542,1,0,0,0,0,0,0,0,0,0,-3,0.5384615384615384,0,0,0,0,0,100060
Stan Smith,227,0,216,129,193,37.0513347,1,0,0,0,0,0,0,0,0,0,-4,0.5972222222222222,0,0,0,0,0,100126
Arthur Ashe,235,0,151,111,185,34.55989049,1,0,0,0,0,0,0,0,0,0,0,0.7350993377483444,0,0,0,0,0,100074
Tom Gorman,38,0,90,49,180,31.09377139,1,0,0,0,0,0,0,0,0,0,0,0.5444444444444444,0,0,0,0,0,100127
Paul Kronk,92,0,91,34,0,26.40383299,1,0,0,0,0,0,0,0,0,0,0,0.37362637362637363,0,0,0,0,0,100346
Milan Holecek,102,0,28,11,190,32.41341547,1,0,0,0,0,0,0,0,0,0,-3,0.39285714285714285,0,0,0,0,0,100076
Marcello Lara,69,0,35,9,0,30.32169747,1,0,0,0,0,0,0,0,0,0,0,0.2571428571428571,0,0,0,0,0,100147
Kim Warwick,207,0,164,75,183,32.94182067,1,0,0,0,0,0,0,0,0,0,-1,0.4573170731707317,0,0,0,0,0,100273
Leif Johansson,118,0,11,4,0,0.0,1,0,0,0,0,0,0,0,0,0,-2,0.36363636363636365,0,0,0,0,0,107561
Tadeusz Nowicki,214,0,8,3,0,0.0,1,0,0,0,0,0,0,0,0,0,-2,0.375,0,0,0,0,0,108342
Robert Machan,187,0,4,0,0,0.0,1,0,0,0,0,0,0,0,0,0,-4,0.0,0,0,0,0,0,108118
Roger Taylor,108,0,52,22,0,36.27378508,0,0,0,0,0,0,0,0,0,0,-1,0.4230769230769231,0,0,0,0,0,100058
Byron Bertram,84,0,74,35,0,25.3798768,1,0,0,0,0,0,0,0,0,0,-3,0.47297297297297297,0,0,0,0,0,100289
Jun Kamiwazumi,269,0,31,9,0,33.42915811,1,0,0,0,0,0,0,0,0,0,-1,0.2903225806451613,0,0,0,0,0,100146
Cliff Drysdale,27,0,59,34,188,36.65982204,0.5,0,0,0,0,0,0,0,0,0,5,0.576271186440678,0,0,0,0,0,100055
Robert Maud,59,0,8,4,180,27.86584531,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,100120
Jimmy Connors,125,282,773,628,178,38.07802875,0,0,0,0,0,0,0,0,0,0,-3,0.8124191461836999,0,0,0,0,0,100284
