,Player 1 Score,Player 2 Score,Winner,,,
123,1.0651,4.2952,1,3.2301,,
124,3.3492,2.0111,1,1.3381,,
125,2.0111,3.3492,1,1.3381,,
126,0.9493,4.411,1,3.4617,,
127,0.5016,4.8587,0,4.3571,,
128,2.0788,3.2815,1,1.2027,,
129,3.7343,1.626,0,2.1083,,
130,1.0334,4.3269,0,3.2935,,
131,1.4793,3.881,1,2.4017,,
132,2.0144,3.3459,1,1.3315,,
133,0.9828,3.8424,0,2.8596,,
134,4.3243,1.036,0,3.2883,,
135,1.5179,3.8424,1,2.3245,,
136,4.2952,1.0651,0,3.2301,,
137,1.5128,3.8475,1,2.3347,,
138,0.9493,4.411,1,3.4617,,
139,1.0334,4.3269,1,3.2935,,
140,0.9795,4.3808,1,3.4013,,
141,0.9828,4.3775,1,3.3947,,
142,2.0144,3.3459,1,1.3315,,
143,3.7583,1.602,0,2.1563,,
144,4.3775,0.9828,0,3.3947,,
145,3.8468,1.5135,0,2.3333,,
146,1.5634,3.7969,0,2.2335,,
147,2.0497,3.3106,1,1.2609,,
148,2.5462,2.8141,0,0.2679,,
149,0.5016,4.3578,1,3.8562,,
150,4.261,1.0993,0,3.1617,,
151,0.53,4.8303,1,4.3003,,
152,4.2901,1.0702,0,3.2199,,
153,3.8759,1.4844,1,2.3915,,
154,2.0435,3.3168,0,1.2733,,
155,4.0841,2.5495,1,1.5346,,
156,2.6031,2.7572,1,0.1541,,
157,0,5.3603,0,5.3603,,
158,3.8424,1.5179,0,2.3245,,
159,1.5664,3.7939,1,2.2275,,
160,3.3415,2.0188,0,1.3227,,
161,2.785,2.5753,0,0.2097,,
162,3.826,1.0334,0,2.7926,,
163,1.5095,3.8508,1,2.3413,,
164,4.3294,0.53,1,3.7994,,
165,2.1856,3.1747,0,0.9891,,
166,1.4844,3.8759,1,2.3915,,
167,1.7245,3.6358,1,1.9113,,
168,4.411,0.9493,0,3.4617,,
169,2.7623,2.598,1,0.1643,,
170,3.2327,2.1276,0,1.1051,,
171,3.7634,1.5969,0,2.1665,,
172,4.8303,0.53,0,4.3003,,
173,1.5179,3.8424,1,2.3245,,
174,2.1269,3.2334,1,1.1065,,
175,3.2621,2.0982,0,1.1639,,
176,0,5.3603,0,5.3603,,
177,2.2305,3.1298,0,0.8993,,
178,2.8141,2.5462,1,0.2679,,
179,3.8508,1.5095,1,2.3413,,
180,3.1622,1.6972,1,1.465,,
181,2.1353,3.225,1,1.0897,,
182,4.3236,1.0367,1,3.2869,,
183,2.6962,2.6641,0,0.0321,,
184,3.3408,2.0195,0,1.3213,,
185,3.7892,1.0702,1,2.719,,
186,3.8227,1.0367,1,2.786,,
187,1.6637,3.1957,0,1.532,,
188,1.4844,2.8108,1,1.3264,,
189,1.0334,4.3269,1,3.2935,,
190,2.193,3.1673,0,0.9743,,
191,3.3492,2.0111,0,1.3381,,
192,2.2808,2.0144,0,0.2664,,
193,1.5634,5.0702,1,3.5068,,
194,1.5685,3.7918,1,2.2233,,
195,1.0618,3.2334,0,2.1716,,
196,3.225,1.0702,0,2.1548,,
197,3.3499,2.0104,0,1.3395,,
198,2.2841,2.0111,1,0.273,,
199,2.1805,2.1147,0,0.0658,,
200,3.2056,2.1547,1,1.0509,,
201,0,5.3603,1,5.3603,,
202,3.2928,3.3408,1,0.048,,
203,3.7601,0.5351,1,3.225,,
204,4.8587,0.5016,1,4.3571,,
205,2.2272,2.5689,1,0.3417,,
