Rank,Career Win %,Career Double Fault %,Career Ace %,Career Break Point Saved %,Career Won against Top 10 %,Career Won on Hard Court %,Career Won on Clay Court %,Career Ace Against %,Career First Serve Points Return Won %,Career Points Won %,Current Year Win %,Current Year Double Fault %,Current Year Ace %,Current Year Break Point Saved %,Current Year Won against Top 10 %,Current Year Won on Hard Court %,Current Year Won on Clay Court %,Current Year Ace Against %,Current Year First Serve Points Return Won %,Current Year Points Won %,Score
57,-0.277145027,0.062107065,0.208321148,0.567810698,-0.052845528,-0.294281729,-0.384615385,0.495729045,0.018186613,-0.000827409,-0.161458333,0.924781925,-7.042185042,0.59518626,0,0,0,2.90617482,0.015211944,0,-2
268,-0.141939252,-0.154372249,-1.571273365,-1.556558521,0.333333333,-0.15,0.15,-0.690130911,-0.060025074,0.103042837,-0.299019608,-2.178082192,-32.67123288,-1.777235772,0,0,0,4.115384615,-0.005460026,0,-2
200,-0.180952381,-0.352802516,-1.2383819,-1.211538462,0,-0.416666667,-0.166666667,-1.028684861,-0.042750672,0.169083061,0,-0.814393939,12.75,-1,0,0,0,0.446270544,-0.001178944,0,-2
-49,0.043233539,-0.011518193,-0.066572717,-0.123168839,0,-0.000384025,0.058746872,-0.055714232,0.041637673,0.011684443,0.064983165,-1.187794186,3.792039686,-0.417974015,0,0,0,-0.801587302,0.036828529,0,-1
-205,0.457249071,0.090989923,0.315411974,1.042773817,0.047619048,0.467889908,0.424657534,0.286521868,0.304291287,0.455382331,0.546875,4.011299435,20.55367232,3.776744186,0,0,0,17.3015873,0.374383302,0,0
-260,-0.015789474,-0.014016853,-0.075324585,-0.233848093,-0.229885057,0.467532468,0.465116279,0.025633836,-0.021030382,0.030984625,-0.211538462,-0.189624724,3.588741722,-0.826581028,0,0,0,4.647798742,-0.032300654,0,2
396,-0.594827586,-0.003905518,-0.765428357,0.304326123,0,-0.583333333,-0.166666667,1.664671791,0.041534064,0.003811924,-0.666666667,-1.3274244,-29.12408759,10.7125,0,0,0,0.892496392,0.046597561,0,-2
15,0.222222222,-0.065183807,-0.38144084,-0.896772663,-0.166666667,0.166666667,0.25,-0.636141018,-0.008899924,0.006345344,0.583333333,-2.945945946,-13.75675676,-4.128205128,0,0,0,-20.8372093,-0.394578313,0,-2
226,-0.277145027,0.008289765,0.63518327,0.953937402,-0.219512195,-0.294281729,-0.634615385,1.208152698,0.009858698,0.003652489,-0.244791667,-0.687830688,35.86772487,0.376072041,0,0,0,22.92610837,-0.044833995,0,-2
-374,0.579439252,-2.119555144,-0.391102873,0.293803419,0,0.4,0.6,-16.08857473,-0.181496994,0.77968074,0.632352941,1.844748858,31.67123288,1.702235772,0,0,0,-2.615384615,-0.155726822,0,2
-222,0.022270115,0.041890013,0.690490493,0.80426182,-0.333333333,-0.035714286,-0.198275862,0.485292463,0.058881423,-0.03690883,0.15503876,-0.2109375,18.890625,1.182758621,0,0,0,2.822033898,0.020180595,0,-2
-167,0.397212544,0.109060152,0.656120761,1.104774536,0.142857143,0.692307692,0.380952381,0.337398522,0.020934295,-0.073281039,0.088235294,2.421052632,3.644736842,1.505434783,0,0,0,-1.737662338,-0.014992412,0,-2
31,-0.077777778,-0.343196858,-0.187081116,-0.667108753,0,-0.166666667,-0.5,-0.310677032,-0.004706953,0.137954011,0,-1.167335116,35.79411765,-1.096698113,0,0,0,1.043340141,0.016759878,0,-2
286,-0.540540541,-0.054050617,-0.118911357,-0.67601626,-0.139534884,-0.475806452,-0.587155963,-0.110789565,-0.329165627,-0.477396718,-0.574074074,-1.116751269,-18.92385787,-2.765432099,0,0,0,-16.16666667,-0.393925234,0,-2
19,-0.052185051,-0.005412559,0.288213842,0.314611477,-0.139534884,-0.160401003,-0.128409091,0.309774054,0.046520121,0.00574429,0.03476874,-1.039644792,7.590036123,-0.183406114,0,0,0,0.219246032,0.022103295,0,-2
-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-225,0.457249071,0.090989923,0.315411974,1.042773817,0.047619048,0.467889908,0.424657534,0.286521868,0.304291287,0.455382331,0.546875,4.011299435,20.55367232,3.776744186,0,0,0,17.3015873,0.374383302,0,2
233,-0.176518219,-0.032887909,-0.291580176,-0.269123044,-0.103448276,-0.467532468,-0.131782946,-0.202711278,-0.036046845,0.027588618,-0.538461538,1.056291391,-11.18874172,5.201581028,0,0,0,15.01886792,-0.108891566,0,-1
56,0.5,0.088571429,0.408571429,1.236842105,0.333333333,0,0,0.340599455,0.347107438,0.444909344,0.75,1.133333333,7.6,3.625,0,0,0,14,0.418300654,0,2
154,0.362637363,-0.051149118,-0.048865695,-1.3224,0.285714286,0.392156863,0.25,-2.088917942,-0.123136992,0.033642987,0,-0.285714286,-1,-15,0,0,0,-15.44444444,-0.434343434,0,-2
-232,0.18073067,0.037948133,0.781900559,0.852904646,-0.173913043,0.142156863,-0.308333333,0.295632817,0.067925285,-0.032624058,0.405797101,0.798323871,19.72902586,2.140213178,0,0,0,-11.90751141,0.036664343,0,2
